VendorID,trip_count,sum_passenger,total_trip_duration (min),mode_PULocationID,mode_DOLocationID,sum_distance (km),sum_fare_amount,mean_tipAmount
1,7409,8541,95978,74,75,20243.1,87851.07,1.527230395464975
2,51426,64556,991426,74,74,156357.53,696518.46,1.7346081748531872
